-2.902,2.796,-1.199,0.234,-0.821,1.257,0.263,-0.075,-1.103,0.417
-3.567,2.081,-0.579,0.845,0.126,0.381,-0.179,-0.51,-0.846,0.987
-3.57,3.41,-1.576,0.563,0.002,0.759,0.285,-0.466,-1.409,0.586
-3.792,4.29,-1.531,-0.125,-0.312,0.624,0.324,-0.053,-0.942,-0.301
-3.862,2.109,-0.65,0.99,0.724,0.641,-0.293,-0.519,-1.055,0.653
-4.118,2.542,-0.2,1.616,1.106,-0.06,-0.728,-0.544,-0.912,-0.101
-3.636,2.719,-0.178,0.665,0.099,-0.084,-0.333,-0.362,-1.049
-4.047,0.913,0.734,1.479,0.258,0.206,-1.117,-0.423,-0.336,0.982
-3.811,2.123,0.278,1.552,0.754,0.492,-0.584,-0.433,-0.988,0.652
-3.441,1.975,-0.395,1.024,-0.052,-0.167,-0.445,0.168,-0.684,1.04
-2.584,2.091,-1.451,0.889,-0.464,0.285,-0.213,-0.245,-0.138,1.206
-3.119,3.135,-1.466,-0.352,-0.023,0.752,0.143,-0.231,-0.376,0.721
-2.871,3.13,-1.3,0.008,-0.288,0.483,0.258,-0.342,-0.614,0.83
-3.059,2.895,-0.847,-0.364,-0.484,1.025,0.502,0.506,-0.733,0.078
-3.642,3.582,-1.031,-0.761,0.046,1.255,0.841,0.512,-0.259,-0.447
-3.977,2.976,0.309,-0.259,0.026,0.816,-0.317,0.492,-0.674,-0.659
-4.008,2.141,-0.18,1.041,0.688,0.712,-0.879,-0.201,-1.066,-0.549
-3.451,2.257,-0.845,0.432,0.486,0.266,-0.215,0.006,-1.082
-3.836,0.508,0.645,1.721,0.28,0.303,-0.911,-0.592,-0.631,1.023
-3.709,1.665,0.138,1.551,0.975,0.923,-0.396,-0.234,-1.154,0.736
-3.369,1.784,-0.603,1.303,0.007,-0.044,-0.459,-0.012,-0.591,1.047
-2.627,2.089,-1.434,0.937,-0.615,0.43,-0.311,-0.203,0.038,0.933
-3.074,3.062,-1.47,-0.379,0.233,0.789,-0.099,-0.135,-0.395,0.572
-2.902,2.988,-1.152,0.057,-0.477,0.622,0.338,-0.368,-0.689,0.793
-3.027,2.903,-0.799,-0.452,-0.503,1.044,0.679,0.483,-0.776,-0.062
-3.634,3.589,-1.075,-0.709,0.058,1.051,0.878,0.627,-0.111,-0.437
-3.924,2.726,0.414,-0.155,-0.02,0.893,-0.188,0.552,-0.507,-0.617
-4.049,2.223,-0.076,0.928,0.692,0.731,-0.931,-0.141,-1.087,-0.584
-3.432,2.235,-0.753,0.361,0.435,0.425,-0.193,0.012,-1.166
-3.661,0.3,0.53,1.816,0.333,0.444,-0.858,-0.732,-0.809,0.995
-3.674,1.513,0.038,1.604,0.907,1.045,-0.166,-0.295,-1.13,0.594
-3.242,1.615,-0.829,1.589,0.09,0.051,-0.504,-0.211,-0.513,1.005
-2.634,2.076,-1.32,0.833,-0.547,0.287,-0.173,-0.203,-0.001,0.802
-3.052,3.059,-1.668,-0.208,0.466,0.724,-0.237,-0.175,-0.315,0.411
-2.918,2.897,-1.069,-0.077,-0.261,0.55,0.317,-0.322,-0.776,0.79
-3.048,2.817,-0.703,-0.396,-0.639,0.92,0.674,0.686,-0.611,-0.053
-3.66,3.618,-1.051,-0.748,0.08,1.022,0.914,0.613,0.023,-0.448
-3.919,2.575,0.471,-0.064,-0.042,0.88,-0.128,0.612,-0.504,-0.539
-4.094,2.499,-0.149,1.017,0.683,0.536,-1.023,-0.127,-1.142,-0.421
-3.396,2.257,-0.602,0.407,0.204,0.366,0.067,0.044,-1.352
-3.572,0.228,0.52,1.791,0.382,0.573,-0.961,-0.74,-0.936,1.007
-3.584,1.252,-0.062,1.646,0.787,1.134,0.096,-0.292,-1.133,0.472
-3.232,1.551,-0.832,1.674,-0.042,0.296,-0.553,-0.443,-0.413,0.96
-2.643,2.021,-1.265,0.759,-0.442,0.159,-0.032,-0.145,-0.164,0.86
-3.05,3.055,-1.598,-0.12,0.144,0.757,0.119,-0.397,-0.396,0.477
-2.938,2.782,-1.111,-0.076,0.0,0.582,0.252,-0.4,-0.773,0.838
-3.095,2.851,-0.816,-0.396,-0.603,1.09,0.567,0.743,-0.677,0.052
-3.706,3.627,-0.889,-0.789,-0.093,1.223,0.814,0.563,0.062,-0.449
-3.946,2.545,0.447,-0.001,0.043,0.788,-0.102,0.68,-0.637,-0.545
-4.145,2.739,-0.115,0.907,0.669,0.478,-1.183,-0.24,-0.887,-0.365
-3.325,2.141,-0.528,0.439,0.099,0.321,0.217,0.135,-1.388
-3.461,0.04,0.553,1.854,0.386,0.568,-1.003,-0.638,-1.04,1.051
-3.546,1.064,-0.006,1.455,0.847,1.117,0.073,-0.025,-1.318,0.557
-3.32,1.553,-0.586,1.688,-0.262,0.392,-0.478,-0.461,-0.522,0.929
-2.71,1.943,-1.247,0.772,-0.345,0.107,-0.062,0.04,-0.322,1.018
-3.018,3.014,-1.486,-0.105,-0.131,0.929,0.226,-0.463,-0.555,0.598
-2.904,2.741,-1.123,0.014,0.071,0.654,0.212,-0.454,-0.815,0.752
-3.176,2.997,-1.098,-0.371,-0.418,1.318,0.48,0.472,-0.814,0.106
-3.743,3.629,-0.874,-0.79,-0.312,1.759,0.679,0.565,-0.521,-0.485
-3.952,2.489,0.287,0.012,0.141,0.892,-0.087,0.613,-0.685,-0.623
-4.211,2.811,0.016,0.799,0.514,0.496,-1.219,-0.238,-0.798,-0.392
-3.309,2.256,-0.615,0.365,0.251,0.439,0.011,0.119,-1.219
-3.5,0.068,0.533,1.876,0.363,0.542,-0.982,-0.671,-1.006,1.101
-3.62,1.066,0.158,1.393,0.879,1.02,-0.09,0.087,-1.333,0.585
-3.468,1.81,-0.39,1.55,-0.084,-0.008,-0.482,-0.231,-0.724,0.967
-2.795,1.957,-1.259,0.79,-0.274,0.078,-0.114,0.005,-0.309,1.142
-3.002,2.944,-1.379,-0.188,-0.131,0.957,0.346,-0.392,-0.711,0.617
-2.924,2.731,-1.138,0.066,0.1,0.683,0.162,-0.399,-0.882,0.827
-3.239,3.083,-1.427,-0.202,-0.282,1.421,0.576,0.068,-0.914,0.147
-3.753,3.605,-0.899,-0.747,-0.401,1.765,0.62,0.754,-0.835,-0.301
-3.98,2.459,0.068,0.023,0.237,1.029,-0.189,0.521,-0.773,-0.5
-4.264,2.925,0.065,0.794,0.323,0.515,-1.282,-0.14,-0.863,-0.39
-3.291,2.324,-0.679,0.285,0.441,0.557,-0.227,0.115,-1.046,0.697
